reason,sex,age,unit,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
FAM_CARE_PER_OTH,F,Y20-64,PC_INAC_WWRK,EL,46.8 ,48.7 b,50.1 ,44.3 ,52.1 b,53.0 b,66.6 ,62.4 ,57.4 ,57.1 b,56.2 ,52.7 ,52.7 ,47.7 ,44.8 ,44.4 ,44.2 ,40.8 ,39.2 ,43.7 ,38.7 ,35.4 b
FAM_CARE_PER_OTH,F,Y20-64,PC_INAC_WWRK,ES,41.2 ,36.1 b,32.7 ,34.5 ,31.7 ,43.4 b,43.4 b,44.5 ,39.9 ,36.0 ,35.4 ,32.5 ,30.8 ,29.8 ,29.5 ,31.9 ,35.4 ,34.2 ,34.8 ,32.3 ,23.8 ,33.2 bd
FAM_CARE_PER_OTH,F,Y20-64,PC_INAC_WWRK,EU27_2020,: ,: ,39.3 ,38.5 ,35.3 ,34.2 b,37.5 ,37.2 ,35.8 ,33.7 ,32.6 ,31.1 ,31.7 ,31.2 ,29.8 ,30.7 ,31.3 ,32.7 ,34.3 ,35.3 ,31.2 ,30.2 b
FAM_CARE_PER_OTH,F,Y20-64,PC_INAC_WWRK,FI,18.3 b,18.6 ,19.0 ,18.4 ,15.8 ,18.2 b,20.1 ,20.2 b,15.8 b,15.2 ,13.6 ,10.9 ,11.1 u,16.1 ,10.9 ,13.3 ,9.2 ,9.3 ,15.2 ,9.5 u,10.4 ,15.0 b
FAM_CARE_PER_OTH,F,Y20-64,PC_INAC_WWRK,FR,22.0 ,24.8 ,20.2 ,21.6 b,29.1 ,19.7 b,28.5 b,25.0 ,24.6 ,27.3 ,22.9 ,20.5 ,23.6 ,26.6 b,23.3 b,27.7 ,24.3 ,26.4 ,24.5 ,26.1 ,20.3 ,21.0 bd
FAM_CARE_PER_OTH,F,Y20-64,PC_INAC_WWRK,HR,: ,: ,35.5 ,35.2 b,44.3 ,33.1 bu,42.9 b,42.4 ,41.6 ,39.8 ,36.1 ,41.7 ,46.9 ,42.4 ,38.0 ,37.9 ,45.3 ,42.7 ,44.0 ,53.2 ,47.6 ,21.8 bu
FAM_CARE_PER_OTH,F,Y20-64,PC_INAC_WWRK,HU,31.6 ,31.3 b,29.1 ,24.0 ,27.3 ,29.0 b,31.6 ,32.6 ,33.4 ,30.4 ,29.7 ,30.3 ,27.5 ,28.0 ,32.5 ,36.1 ,38.2 ,37.9 ,39.5 ,37.8 ,38.4 ,32.0 b
FAM_CARE_PER_OTH,F,Y20-64,PC_INAC_WWRK,IE,58.3 ,58.4 ,53.2 ,56.0 ,45.8 ,39.4 b,47.0 ,51.5 b,48.4 ,40.8 ,40.6 ,40.7 ,41.9 b,42.2 ,42.1 ,45.1 ,46.9 ,51.6 b,52.5 ,52.5 ,38.4 ,38.7 b
FAM_CARE_PER_OTH,F,Y20-64,PC_INAC_WWRK,IS,: u,37.3 ,: u,: bu,: u,: bu,: u,: u,: u,: u,: u,: u,: u,13.0 ,: u,12.7 ,10.5 ,: u,: u,: u,12.6 b,: bu
FAM_CARE_PER_OTH,F,Y20-64,PC_INAC_WWRK,IT,55.4 ,54.8 ,54.2 ,52.4 ,36.5 b,33.3 b,36.6 ,33.3 ,33.1 ,30.0 ,29.1 ,27.4 ,27.7 ,26.0 ,23.6 ,23.6 ,24.1 ,26.7 ,29.6 ,31.4 ,26.3 ,30.2 b
FAM_CARE_PER_OTH,F,Y20-64,PC_INAC_WWRK,LT,: ,35.4 ,32.6 bu,38.1 u,20.7 u,37.1 bu,43.9 u,40.9 u,44.9 u,34.1 ,37.3 ,39.4 ,39.4 u,45.9 ,44.4 ,35.9 ,26.3 ,32.0 ,37.2 ,46.3 ,40.8 ,43.8 b
FAM_CARE_PER_OTH,F,Y20-64,PC_INAC_WWRK,LU,75.0 ,62.7 ,68.5 ,79.4 b,: u,77.8 bu,72.8 u,: bu,48.2 u,52.8 b,49.2 ,52.8 ,47.0 ,39.8 ,41.6 ,33.7 b,32.0 ,39.1 ,35.0 ,29.9 ,26.6 ,34.4 b
FAM_CARE_PER_OTH,F,Y20-64,PC_INAC_WWRK,LV,: ,: u,33.2 b,34.9 ,43.4 ,42.0 b,42.1 ,45.7 ,49.0 ,39.3 ,35.1 ,38.3 ,40.3 ,39.2 ,43.4 ,47.9 ,47.4 ,51.9 ,34.4 ,54.2 ,45.9 ,43.8 b
FAM_CARE_PER_OTH,F,Y20-64,PC_INAC_WWRK,ME,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,33.3 ,42.2 ,52.8 ,49.8 ,53.7 ,48.4 ,45.5 ,44.3 ,45.2 ,40.3 ,: 
FAM_CARE_PER_OTH,F,Y20-64,PC_INAC_WWRK,MK,: ,: ,: ,: ,: ,: ,37.7 ,43.9 ,45.0 ,44.2 ,32.7 ,38.4 ,33.4 ,45.7 ,58.3 ,46.7 ,42.1 ,49.6 ,48.1 ,49.8 ,44.0 ,: 
FAM_CARE_PER_OTH,F,Y20-64,PC_INAC_WWRK,MT,79.5 ,84.6 ,80.7 ,74.6 ,85.2 b,76.7 b,72.8 ,74.8 ,72.4 ,73.0 ,67.8 ,70.1 ,67.1 ,61.9 ,58.6 ,58.8 ,58.8 ,60.9 ,58.7 ,53.1 ,54.5 ,71.9 bu
FAM_CARE_PER_OTH,F,Y20-64,PC_INAC_WWRK,NL,: ,: ,: ,: ,: ,: ,14.4 b,14.2 ,13.3 ,11.5 ,11.5 ,9.8 ,10.3 ,8.3 b,10.0 ,10.9 ,9.4 ,10.2 ,9.6 ,12.4 ,9.7 ,13.1 b
FAM_CARE_PER_OTH,F,Y20-64,PC_INAC_WWRK,NO,16.8 ,16.3 ,14.5 ,13.4 ,15.6 ,14.4 b,16.2 b,13.4 ,15.9 ,13.2 ,12.6 ,13.5 ,11.4 ,11.7 ,11.8 ,9.2 u,9.9 u,10.5 u,10.4 u,11.0 u,10.6 u,9.5 bu
FAM_CARE_PER_OTH,F,Y20-64,PC_INAC_WWRK,PL,: ,45.5 b,43.3 ,42.1 b,38.5 b,42.1 b,45.8 ,48.4 ,50.3 ,51.3 ,50.9 b,51.9 ,51.3 ,51.3 ,53.1 ,54.8 ,58.5 ,63.1 ,66.6 ,68.4 ,66.6 ,58.2 b
FAM_CARE_PER_OTH,F,Y20-64,PC_INAC_WWRK,PT,: u,: u,: u,: u,: u,10.1 b,21.2 ,25.3 ,20.2 ,19.4 ,16.1 ,24.2 b,23.9 ,20.4 ,21.7 ,22.3 ,21.9 ,23.0 ,24.2 ,25.6 ,24.4 ,23.9 b
FAM_CARE_PER_OTH,F,Y20-64,PC_INAC_WWRK,RO,: ,: ,31.2 b,29.8 b,37.9 ,8.3 b,30.8 ,29.1 ,24.9 ,22.7 ,18.8 b,14.1 ,13.3 ,15.5 ,12.1 ,22.2 ,17.3 ,19.5 ,23.8 ,15.3 ,21.6 ,30.2 b
FAM_CARE_PER_OTH,F,Y20-64,PC_INAC_WWRK,RS,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,34.5 ,34.9 ,33.4 ,38.2 ,38.7 b,37.2 ,36.6 ,42.3 ,46.4 ,46.6 ,35.0 ,40.5 b
FAM_CARE_PER_OTH,F,Y20-64,PC_INAC_WWRK,SE,: ,: ,: ,: ,: ,: bu,: u,5.2 u,6.2 u,7.1 ,7.3 ,6.9 ,7.2 ,7.4 ,7.7 ,8.8 ,8.4 ,9.8 ,6.9 b,10.0 u,7.5 u,14.9 b
FAM_CARE_PER_OTH,F,Y20-64,PC_INAC_WWRK,SI,19.4 u,24.1 u,20.7 u,23.8 u,14.1 u,25.2 b,24.6 ,21.8 ,27.5 ,25.3 ,26.2 ,33.7 ,26.0 ,26.1 ,23.5 ,21.7 ,31.6 ,33.6 ,35.7 ,37.7 ,30.4 ,27.0 bu
FAM_CARE_PER_OTH,F,Y20-64,PC_INAC_WWRK,SK,96.7 ,35.4 ,36.6 ,37.3 b,36.9 ,39.8 b,42.1 ,39.5 ,42.0 ,42.6 ,38.9 ,40.1 b,39.9 ,47.3 ,49.5 ,46.2 ,45.2 ,50.2 ,54.2 ,50.8 ,44.7 ,22.8 bu
FAM_CARE_PER_OTH,F,Y20-64,PC_INAC_WWRK,TR,: ,: ,: ,: ,: ,: ,52.1 ,56.0 ,57.7 ,56.4 ,56.0 ,59.1 ,59.3 ,60.9 ,67.8 b,66.7 ,66.6 ,64.8 ,67.1 ,64.1 ,54.9 ,: 
FAM_CARE_PER_OTH,F,Y20-64,PC_INAC_WWRK,UK,47.6 ,50.0 ,49.6 ,47.1 ,46.4 b,49.1 b,: ,: ,46.6 b,47.2 ,46.4 ,42.0 ,46.0 ,44.3 ,42.5 ,45.3 ,43.5 ,41.8 ,42.2 ,39.1 ,: ,: 
FAM_CARE_PER_OTH,M,Y20-64,PC_INAC_WWRK,AT,: u,: u,: u,: u,2.7 bu,2.9 bu,2.6 u,3.5 bu,3.7 u,3.3 u,3.6 u,3.2 u,3.2 u,3.4 u,3.6 u,2.7 u,3.3 u,4.0 u,4.7 ,3.7 u,6.3 ,6.5 b
FAM_CARE_PER_OTH,M,Y20-64,PC_INAC_WWRK,BE,: ,: bu,: u,: u,: u,7.9 bu,: u,: u,: u,8.5 u,12.9 u,: ,4.8 u,7.5 ,9.4 ,7.3 ,9.1 ,7.1 bu,14.3 ,10.1 u,8.1 u,16.4 b
FAM_CARE_PER_OTH,M,Y20-64,PC_INAC_WWRK,BG,: u,3.6 bu,3.1 u,2.4 bu,3.3 u,3.6 bu,5.2 ,6.2 u,9.1 bu,: u,: bu,4.3 bu,: u,: u,5.0 u,: u,5.6 u,10.0 u,12.3 u,10.8 u,: u,17.8 b
FAM_CARE_PER_OTH,M,Y20-64,PC_INAC_WWRK,CH,: u,: u,: u,: u,: u,: bu,3.0 u,6.6 u,4.0 u,6.0 u,5.4 bu,4.6 u,5.8 ,3.8 u,3.2 u,3.7 u,3.3 u,4.5 u,4.2 u,5.1 ,5.2 ,4.5 bu
FAM_CARE_PER_OTH,M,Y20-64,PC_INAC_WWRK,CY,: u,: u,: u,22.3 u,: u,14.1 bu,20.1 u,: u,14.9 u,: bu,13.1 u,13.1 u,13.0 u,11.8 u,10.5 u,14.8 u,12.5 u,18.3 u,34.4 u,31.4 u,41.4 u,10.6 bu
FAM_CARE_PER_OTH,M,Y20-64,PC_INAC_WWRK,CZ,: ,: ,: u,2.6 u,1.3 u,1.3 bu,1.5 u,1.7 u,1.6 u,2.2 u,1.5 u,: bu,: u,: u,: u,7.7 u,3.8 u,5.8 u,: u,3.3 u,12.4 u,7.8 bu
FAM_CARE_PER_OTH,M,Y20-64,PC_INAC_WWRK,DE,4.5 ,4.0 ,3.6 ,3.2 ,4.7 ,3.7 b,: bu,: u,: u,: u,: bu,: bu,4.9 b,5.1 ,5.2 ,5.1 ,5.2 ,5.0 ,5.6 ,6.0 ,: ,5.3 bu
FAM_CARE_PER_OTH,M,Y20-64,PC_INAC_WWRK,DK,: u,: u,: u,: u,: u,8.8 bu,: u,: u,: bu,5.5 u,4.7 u,: u,: u,3.9 u,5.3 u,: u,3.7 bu,5.2 bu,5.0 u,5.0 u,4.1 u,9.1 b
FAM_CARE_PER_OTH,M,Y20-64,PC_INAC_WWRK,EA20,: ,: ,3.6 ,3.4 u,2.6 u,3.7 b,5.1 ,5.2 ,5.1 ,5.6 ,5.6 ,5.9 ,6.1 ,6.2 ,5.7 ,5.6 ,6.0 ,6.0 ,6.2 ,6.9 ,5.2 ,7.6 b
FAM_CARE_PER_OTH,M,Y20-64,PC_INAC_WWRK,EE,: bu,: u,: ,: u,: u,: bu,: u,10.3 u,: u,: u,: u,: u,8.3 u,: u,: u,: u,7.7 u,: u,9.1 u,10.4 u,7.7 u,19.9 bu
FAM_CARE_PER_OTH,M,Y20-64,PC_INAC_WWRK,EL,: u,: bu,: u,: u,: bu,: bu,: u,: u,: u,6.5 bu,: u,6.6 u,5.4 u,4.2 u,8.6 u,6.7 u,5.9 u,5.0 u,7.5 u,8.0 u,8.1 ,5.9 bu
FAM_CARE_PER_OTH,M,Y20-64,PC_INAC_WWRK,ES,2.4 u,2.1 bu,1.5 u,2.3 u,2.3 u,5.6 b,7.6 b,6.8 ,8.5 ,6.2 ,6.3 ,6.5 ,6.1 ,5.5 ,7.7 ,7.7 ,10.1 ,12.3 ,8.8 ,13.1 ,6.1 ,12.1 bd
FAM_CARE_PER_OTH,M,Y20-64,PC_INAC_WWRK,EU27_2020,: ,: ,2.8 ,2.7 ,2.5 ,3.3 b,5.6 ,6.3 ,6.3 ,6.4 ,6.4 ,6.5 ,6.7 ,6.8 ,6.7 ,7.0 ,7.2 ,7.5 ,8.0 ,8.5 ,7.0 ,8.5 b
FAM_CARE_PER_OTH,M,Y20-64,PC_INAC_WWRK,FI,: bu,: u,: u,: u,: u,: bu,: u,8.2 bu,: bu,: u,: u,5.3 u,: u,4.9 u,3.4 u,3.5 u,6.2 ,5.5 u,5.6 u,6.5 u,5.3 u,11.2 b
FAM_CARE_PER_OTH,M,Y20-64,PC_INAC_WWRK,FR,: u,: u,: u,: bu,: u,: bu,: bu,: u,: u,: u,8.3 u,: u,: u,: bu,: bu,: u,: u,: u,: u,4.3 u,: u,4.5 bdu
FAM_CARE_PER_OTH,M,Y20-64,PC_INAC_WWRK,HR,: ,: ,11.8 u,10.4 bu,13.0 u,13.5 bu,12.6 bu,13.5 u,13.2 u,11.1 u,17.7 u,15.1 u,20.7 ,15.7 ,12.5 u,12.6 u,21.4 ,20.0 u,18.9 u,33.0 ,27.2 ,6.3 bu
FAM_CARE_PER_OTH,M,Y20-64,PC_INAC_WWRK,HU,3.3 ,3.6 b,2.1 u,2.7 u,3.0 u,4.9 b,4.7 ,5.0 ,3.8 ,4.0 ,3.8 ,4.0 ,4.7 ,4.6 ,4.9 ,6.0 ,8.8 ,8.8 ,7.4 ,7.8 ,9.2 ,11.3 b
FAM_CARE_PER_OTH,M,Y20-64,PC_INAC_WWRK,IE,: u,: u,: u,: u,: u,: bu,10.7 u,12.5 b,12.0 ,6.8 u,5.5 u,6.0 u,6.5 b,6.0 u,8.5 ,10.7 ,10.2 ,12.8 b,14.9 ,13.6 ,8.8 ,: bu
FAM_CARE_PER_OTH,M,Y20-64,PC_INAC_WWRK,IS,: ,: ,: u,: bu,: ,: ,: ,: u,: u,: u,: ,: ,: u,: u,: u,: u,: u,: u,: u,: u,: bu,: bu
FAM_CARE_PER_OTH,M,Y20-64,PC_INAC_WWRK,IT,2.6 ,5.6 ,2.9 ,3.4 ,1.2 b,2.7 b,3.7 ,3.5 ,4.1 ,5.4 ,4.7 ,6.3 ,6.6 ,7.0 ,5.7 ,6.2 ,5.1 ,4.8 ,5.2 ,5.5 ,3.8 ,7.3 b
FAM_CARE_PER_OTH,M,Y20-64,PC_INAC_WWRK,LT,: ,: u,: bu,: u,: u,: bu,: u,: u,: u,: u,: u,: u,: u,13.7 u,: u,13.9 u,14.9 u,12.4 u,12.1 u,18.1 u,21.8 u,28.7 bu
FAM_CARE_PER_OTH,M,Y20-64,PC_INAC_WWRK,LU,: u,: u,: u,: ,: u,: ,: ,: bu,: u,: bu,: u,: u,: u,11.9 u,: u,: bu,: u,: u,: u,13.8 u,6.7 u,21.1 b
FAM_CARE_PER_OTH,M,Y20-64,PC_INAC_WWRK,LV,: ,: u,12.4 bu,: u,: u,10.9 b,12.6 ,13.6 ,16.9 ,8.6 ,12.5 ,17.5 ,15.9 ,17.5 ,19.4 ,17.4 ,19.7 ,15.1 ,24.1 ,10.7 u,24.8 ,28.1 bu
FAM_CARE_PER_OTH,M,Y20-64,PC_INAC_WWRK,ME,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,9.4 u,9.8 ,29.6 ,26.6 ,31.2 ,25.0 ,25.6 ,29.6 ,24.2 ,17.1 ,: 
FAM_CARE_PER_OTH,M,Y20-64,PC_INAC_WWRK,MK,: ,: ,: ,: ,: ,: ,2.6 u,14.2 ,10.5 ,4.9 ,4.8 u,6.9 ,7.2 ,4.3 u,11.0 ,6.8 ,9.9 ,14.2 ,11.4 ,8.6 ,3.4 ,: 
FAM_CARE_PER_OTH,M,Y20-64,PC_INAC_WWRK,MT,: ,: u,: u,: u,: bu,: bu,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: ,: ,: u,: bu
FAM_CARE_PER_OTH,M,Y20-64,PC_INAC_WWRK,NL,: ,: ,: ,: ,: ,: ,2.9 b,4.1 ,2.3 u,1.9 u,1.2 u,2.0 u,1.3 u,2.3 bu,3.4 u,2.9 u,4.0 u,4.5 u,2.5 u,3.6 u,2.4 u,5.3 b
FAM_CARE_PER_OTH,M,Y20-64,PC_INAC_WWRK,NO,: u,: u,4.2 u,: u,: u,3.0 bu,6.0 bu,6.8 u,: u,: u,6.6 u,5.5 u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: bu
FAM_CARE_PER_OTH,M,Y20-64,PC_INAC_WWRK,PL,: ,: bu,1.5 u,1.4 bu,2.1 bu,2.6 bu,9.5 ,13.0 ,13.6 ,14.7 ,15.4 b,16.5 ,16.4 ,16.5 ,18.0 ,20.9 ,21.6 ,22.8 ,26.6 ,26.9 ,28.9 ,18.6 b
FAM_CARE_PER_OTH,M,Y20-64,PC_INAC_WWRK,PT,: u,: u,: u,: u,: u,: bu,14.2 ,: u,: u,: u,: u,: bu,4.7 ,: u,3.7 ,: u,4.3 ,6.3 ,6.6 ,7.3 ,7.3 ,16.3 b
FAM_CARE_PER_OTH,M,Y20-64,PC_INAC_WWRK,RO,: ,: ,1.7 bu,1.9 bu,: u,: bu,: u,: u,: u,: u,: bu,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,13.8 b
FAM_CARE_PER_OTH,M,Y20-64,PC_INAC_WWRK,RS,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,11.4 ,15.3 ,14.3 ,11.2 ,13.5 b,17.4 ,20.2 ,22.8 ,20.8 ,19.4 ,12.0 ,21.7 b
FAM_CARE_PER_OTH,M,Y20-64,PC_INAC_WWRK,SE,: ,: ,: ,: ,: ,: bu,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: bu,: u,: u,11.1 b
FAM_CARE_PER_OTH,M,Y20-64,PC_INAC_WWRK,SI,9.9 u,: u,: u,14.1 u,3.9 u,12.0 bu,11.5 u,7.6 u,10.9 u,9.9 u,11.1 u,10.8 u,10.3 u,9.4 u,5.7 u,6.5 u,15.5 u,12.9 u,13.2 u,13.2 u,10.8 u,10.9 bu
FAM_CARE_PER_OTH,M,Y20-64,PC_INAC_WWRK,SK,: u,: u,: u,: bu,: u,: bu,: u,9.6 ,16.8 ,17.2 ,12.7 ,14.7 b,13.6 ,14.6 ,15.6 ,13.6 ,20.1 ,20.4 ,21.5 ,19.7 ,18.3 ,: bu
FAM_CARE_PER_OTH,M,Y20-64,PC_INAC_WWRK,TR,: ,: ,: ,: ,: ,: ,3.1 ,3.3 ,3.5 ,4.0 ,4.6 ,6.1 ,5.9 ,6.6 ,8.8 b,10.2 ,9.3 ,11.0 ,11.1 ,10.2 ,8.8 ,: 
FAM_CARE_PER_OTH,M,Y20-64,PC_INAC_WWRK,UK,8.4 ,9.2 ,8.4 ,9.0 ,10.6 b,10.6 b,: ,: ,10.0 b,9.6 ,9.3 ,9.3 ,9.4 ,11.8 ,11.3 ,9.1 ,12.7 ,10.7 ,11.6 ,11.7 ,: ,: 
FAM_CARE_PER_OTH,T,Y20-64,PC_INAC_WWRK,AT,37.5 ,35.7 ,39.5 ,39.9 ,22.8 b,26.0 b,24.4 ,24.7 b,22.4 ,21.7 ,20.0 ,18.8 ,18.0 ,18.2 ,17.1 ,16.2 ,16.8 ,15.2 ,16.6 ,17.7 ,16.4 ,21.7 b
FAM_CARE_PER_OTH,T,Y20-64,PC_INAC_WWRK,BE,: ,14.6 b,18.7 ,19.6 ,15.0 ,17.5 b,15.6 ,13.6 ,12.0 ,14.6 ,19.1 ,: ,7.5 ,16.7 ,15.1 ,14.2 ,14.9 ,13.7 b,18.4 ,17.7 ,14.1 ,24.9 b
FAM_CARE_PER_OTH,T,Y20-64,PC_INAC_WWRK,BG,3.9 ,8.5 b,6.3 ,6.9 b,7.4 ,9.1 b,10.4 ,12.5 ,13.7 b,7.4 ,7.6 b,6.1 b,6.0 ,7.5 ,8.6 ,6.5 ,7.9 ,10.7 ,13.7 ,16.5 ,14.5 ,26.2 b
FAM_CARE_PER_OTH,T,Y20-64,PC_INAC_WWRK,CH,54.7 ,44.5 ,42.4 ,40.2 ,40.5 ,38.7 b,41.8 ,43.6 ,37.4 ,34.5 ,36.6 b,33.7 ,32.0 ,31.6 ,29.1 ,28.1 ,29.0 ,28.4 ,26.3 ,27.1 ,26.8 ,24.4 b
FAM_CARE_PER_OTH,T,Y20-64,PC_INAC_WWRK,CY,52.4 ,62.1 ,51.9 ,52.7 ,66.7 ,62.2 b,59.6 ,48.3 ,46.8 ,48.6 b,38.7 ,37.2 ,35.3 ,31.5 ,33.8 ,38.1 ,39.5 ,41.4 ,50.7 ,48.5 ,54.2 ,31.9 b
FAM_CARE_PER_OTH,T,Y20-64,PC_INAC_WWRK,CZ,: ,: ,25.3 ,23.6 ,25.3 ,23.8 b,23.2 ,25.1 ,25.7 ,23.4 ,20.2 ,21.0 b,19.3 ,26.1 ,27.9 ,27.3 ,27.3 ,25.8 ,26.8 ,28.4 ,34.9 ,27.8 b
FAM_CARE_PER_OTH,T,Y20-64,PC_INAC_WWRK,DE,38.8 ,38.4 ,36.9 ,37.0 ,35.9 ,35.2 b,32.7 b,35.2 ,30.2 ,26.7 ,28.6 b,28.7 b,30.3 b,29.1 ,27.4 ,26.2 ,25.2 ,23.7 ,24.7 ,25.4 ,: ,20.7 b
FAM_CARE_PER_OTH,T,Y20-64,PC_INAC_WWRK,DK,22.3 ,21.8 ,19.3 ,15.1 ,11.8 ,17.4 b,13.9 ,12.0 ,11.0 b,9.7 ,9.8 ,10.8 ,8.9 ,9.4 ,10.3 ,8.9 ,8.1 b,9.5 b,10.1 ,10.0 ,8.5 ,13.7 b
FAM_CARE_PER_OTH,T,Y20-64,PC_INAC_WWRK,EA20,: ,: ,30.9 ,29.7 ,25.6 ,26.1 b,27.9 ,26.9 ,25.2 ,23.0 ,22.5 ,21.3 ,21.9 ,21.0 ,19.3 ,19.6 ,19.9 ,20.5 ,21.5 ,22.1 ,19.0 ,20.2 b
FAM_CARE_PER_OTH,T,Y20-64,PC_INAC_WWRK,EE,19.9 b,15.5 u,15.6 u,14.0 u,16.2 u,19.7 b,28.6 ,32.3 ,30.2 ,24.4 ,22.6 ,18.5 ,26.2 ,22.5 ,22.6 ,24.1 ,27.3 ,28.3 ,30.8 ,29.0 ,28.2 ,28.6 b
FAM_CARE_PER_OTH,T,Y20-64,PC_INAC_WWRK,EL,36.3 ,35.7 b,41.1 ,33.6 ,40.6 b,42.2 b,53.2 ,49.7 ,47.3 ,45.9 b,45.2 ,43.0 ,40.6 ,36.4 ,36.0 ,34.5 ,33.6 ,31.7 ,30.9 ,33.7 ,29.2 ,24.9 b
FAM_CARE_PER_OTH,T,Y20-64,PC_INAC_WWRK,ES,30.7 ,26.7 b,23.5 ,25.1 ,22.7 ,34.1 b,35.4 b,36.0 ,32.1 ,27.7 ,27.2 ,24.7 ,23.4 ,22.8 ,22.6 ,24.9 ,27.6 ,27.4 ,26.8 ,26.0 ,17.3 ,25.6 bd
FAM_CARE_PER_OTH,T,Y20-64,PC_INAC_WWRK,EU27_2020,: ,: ,27.1 ,26.1 ,24.2 ,23.9 b,27.2 ,27.1 ,26.0 ,24.1 ,23.2 ,21.9 ,22.3 ,21.9 ,20.9 ,21.6 ,21.8 ,22.9 ,24.2 ,24.8 ,21.7 ,21.4 b
